ID,ID_inline,Plant,Repetition,Concentration,Shoot_length_1,Shoot_length_2,Shoot_length_3,Shoot_length_4,Shoot_length_5,Shoot_length_6,Shoot_length_8,Shoot_length_10,Shoot_length_11,Shoot_length_14,germination_1,germination_2,germination_3,germination_4,germination_5,germination_6,germination_8,germination_10,germination_11,germination_14
123,3,rzepak,1,25,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,no,no,no,no,no,no,no,no,no,no
124,4,rzepak,1,25,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,no,no,no,no,no,no,no,no,no,no
125,5,rzepak,1,25,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,no,no,no,no,no,no,no,no,no,no
126,6,rzepak,1,25,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,no,no,no,no,no,no,no,no,no,no
127,7,rzepak,1,25,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,no,no,no,no,no,no,no,no,no,no
128,8,rzepak,1,25,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,no,no,no,no,no,no,no,no,no,no
129,9,rzepak,1,25,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,no,no,no,no,no,no,no,no,no,no
130,10,rzepak,1,25,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,no,no,no,no,no,no,no,no,no,no
131,11,rzepak,1,25,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,no,no,no,no,no,no,no,no,no,no
132,12,rzepak,1,25,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,no,no,no,no,no,no,no,no,no,no
133,13,rzepak,1,25,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,no,no,no,no,no,no,no,no,no,no
134,14,rzepak,1,25,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,no,no,no,no,no,no,no,no,no,no
135,15,rzepak,1,25,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,no,no,no,no,no,no,no,no,no,no
136,16,rzepak,1,25,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,no,no,no,no,no,no,no,no,no,no
137,17,rzepak,1,25,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,no,no,no,no,no,no,no,no,no,no
