ID,ID_inline,Plant,Repetition,Concentration,Shoot_length_1,Shoot_length_2,Shoot_length_3,Shoot_length_4,Shoot_length_5,Shoot_length_6,Shoot_length_8,Shoot_length_10,Shoot_length_11,Shoot_length_14,germination_1,germination_2,germination_3,germination_4,germination_5,germination_6,germination_8,germination_10,germination_11,germination_14
144,4,jeczmien,2,25,0.00,0.00,0.05,0.60,0.00,0.50,1.00,1.00,1.00,2.00,no,no,yes,yes,no,yes,yes,yes,yes,yes
145,5,jeczmien,2,25,0.00,0.00,0.00,0.60,0.00,0.00,1.00,1.00,1.00,2.00,no,no,no,yes,no,no,yes,yes,yes,yes
146,6,jeczmien,2,25,0.00,0.00,0.00,0.60,0.00,0.00,0.00,0.00,1.00,1.50,no,no,no,yes,no,no,no,no,yes,yes
147,7,jeczmien,2,25,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00,1.00,no,no,no,no,no,no,no,no,yes,yes
148,8,jeczmien,2,25,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,no,no,no,no,no,no,no,no,no,no
149,9,jeczmien,2,25,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,no,no,no,no,no,no,no,no,no,no
150,10,jeczmien,2,25,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,no,no,no,no,no,no,no,no,no,no
151,11,jeczmien,2,25,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,no,no,no,no,no,no,no,no,no,no
152,12,jeczmien,2,25,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,no,no,no,no,no,no,no,no,no,no
153,13,jeczmien,2,25,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,no,no,no,no,no,no,no,no,no,no
154,14,jeczmien,2,25,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,no,no,no,no,no,no,no,no,no,no
155,15,jeczmien,2,25,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,no,no,no,no,no,no,no,no,no,no
156,16,jeczmien,2,25,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,no,no,no,no,no,no,no,no,no,no
157,17,jeczmien,2,25,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,no,no,no,no,no,no,no,no,no,no
158,18,jeczmien,2,25,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,no,no,no,no,no,no,no,no,no,no
159,19,jeczmien,2,25,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,no,no,no,no,no,no,no,no,no,no
160,20,jeczmien,2,25,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,no,no,no,no,no,no,no,no,no,no
161,1,jeczmien,1,12.5,0.00,0.00,0.10,0.60,0.60,1.00,2.00,4.50,7.00,12.00,no,no,yes,yes,yes,yes,yes,yes,yes,yes
162,2,jeczmien,1,12.5,0.00,0.00,0.10,0.60,0.60,1.00,1.00,3.50,5.00,12.00,no,no,yes,yes,yes,yes,yes,yes,yes,yes
163,3,jeczmien,1,12.5,0.00,0.00,0.10,0.60,0.60,1.00,1.00,2.50,2.00,10.00,no,no,yes,yes,yes,yes,yes,yes,yes,yes
164,4,jeczmien,1,12.5,0.00,0.00,0.10,0.60,0.60,0.00,1.00,1.00,2.00,9.00,no,no,yes,yes,yes,no,yes,yes,yes,yes
165,5,jeczmien,1,12.5,0.00,0.00,0.10,0.60,0.60,0.00,1.00,0.00,2.00,5.00,no,no,yes,yes,yes,no,yes,no,yes,yes
166,6,jeczmien,1,12.5,0.00,0.00,0.10,0.60,0.60,0.00,1.00,0.00,2.00,10.00,no,no,yes,yes,yes,no,yes,no,yes,yes
167,7,jeczmien,1,12.5,0.00,0.00,0.10,0.60,0.60,0.00,1.00,0.00,2.00,6.00,no,no,yes,yes,yes,no,yes,no,yes,yes
168,8,jeczmien,1,12.5,0.00,0.00,0.10,0.60,0.60,0.00,1.00,0.00,1.00,7.00,no,no,yes,yes,yes,no,yes,no,yes,yes
169,9,jeczmien,1,12.5,0.00,0.00,0.00,0.60,0.60,0.00,1.00,0.00,1.00,4.50,no,no,no,yes,yes,no,yes,no,yes,yes
170,10,jeczmien,1,12.5,0.00,0.00,0.00,0.00,0.30,0.00,1.00,0.00,1.00,2.00,no,no,no,no,yes,no,yes,no,yes,yes
171,11,jeczmien,1,12.5,0.00,0.00,0.00,0.00,0.30,0.00,1.00,0.00,1.00,1.00,no,no,no,no,yes,no,yes,no,yes,yes
172,12,jeczmien,1,12.5,0.00,0.00,0.00,0.00,0.30,0.00,0.00,0.00,3.00,1.00,no,no,no,no,yes,no,no,no,yes,yes
173,13,jeczmien,1,12.5,0.00,0.00,0.00,0.00,0.30,0.00,0.00,0.00,0.00,0.00,no,no,no,no,yes,no,no,no,no,no
174,14,jeczmien,1,12.5,0.00,0.00,0.00,0.00,0.30,0.00,0.00,0.00,0.00,0.00,no,no,no,no,yes,no,no,no,no,no
