ID,ID_inline,Plant,Repetition,Concentration,Shoot_length_1,Shoot_length_2,Shoot_length_3,Shoot_length_4,Shoot_length_5,Shoot_length_7,Shoot_length_9,Shoot_length_10,Shoot_length_13,Shoot_length_14,germination_1,germination_2,germination_3,germination_4,germination_5,germination_7,germination_9,germination_10,germination_13,germination_14
136,16,owies,1,25,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,no,no,no,no,no,no,no,no,no,no
137,17,owies,1,25,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,no,no,no,no,no,no,no,no,no,no
138,18,owies,1,25,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,no,no,no,no,no,no,no,no,no,no
139,19,owies,1,25,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,no,no,no,no,no,no,no,no,no,no
140,20,owies,1,25,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,no,no,no,no,no,no,no,no,no,no
141,1,owies,2,25,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.40,0.40,0.40,no,no,no,no,no,no,no,yes,yes,yes
142,2,owies,2,25,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.40,0.40,no,no,no,no,no,no,no,no,yes,yes
143,3,owies,2,25,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.40,0.40,no,no,no,no,no,no,no,no,yes,yes
144,4,owies,2,25,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.40,0.00,no,no,no,no,no,no,no,no,yes,no
145,5,owies,2,25,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,no,no,no,no,no,no,no,no,no,no
146,6,owies,2,25,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,no,no,no,no,no,no,no,no,no,no
147,7,owies,2,25,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,no,no,no,no,no,no,no,no,no,no
148,8,owies,2,25,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,no,no,no,no,no,no,no,no,no,no
149,9,owies,2,25,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,no,no,no,no,no,no,no,no,no,no
150,10,owies,2,25,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,no,no,no,no,no,no,no,no,no,no
151,11,owies,2,25,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,no,no,no,no,no,no,no,no,no,no
152,12,owies,2,25,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,no,no,no,no,no,no,no,no,no,no
153,13,owies,2,25,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,no,no,no,no,no,no,no,no,no,no
154,14,owies,2,25,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,no,no,no,no,no,no,no,no,no,no
155,15,owies,2,25,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,no,no,no,no,no,no,no,no,no,no
156,16,owies,2,25,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,no,no,no,no,no,no,no,no,no,no
157,17,owies,2,25,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,no,no,no,no,no,no,no,no,no,no
158,18,owies,2,25,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,no,no,no,no,no,no,no,no,no,no
159,19,owies,2,25,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,no,no,no,no,no,no,no,no,no,no
160,20,owies,2,25,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,no,no,no,no,no,no,no,no,no,no
161,1,owies,1,12.5,0.00,0.00,0.25,0.30,0.30,0.50,0.40,0.50,0.50,1.00,no,no,yes,yes,yes,yes,yes,yes,yes,yes
162,2,owies,1,12.5,0.00,0.00,0.25,0.30,0.30,0.30,0.40,0.40,0.40,0.40,no,no,yes,yes,yes,yes,yes,yes,yes,yes
163,3,owies,1,12.5,0.00,0.00,0.00,0.30,0.30,0.30,0.40,0.40,0.40,0.40,no,no,no,yes,yes,yes,yes,yes,yes,yes
164,4,owies,1,12.5,0.00,0.00,0.00,0.00,0.30,0.30,0.40,0.40,0.40,0.40,no,no,no,no,yes,yes,yes,yes,yes,yes
165,5,owies,1,12.5,0.00,0.00,0.00,0.00,0.00,0.30,0.40,0.40,0.40,0.40,no,no,no,no,no,yes,yes,yes,yes,yes
166,6,owies,1,12.5,0.00,0.00,0.00,0.00,0.00,0.30,0.40,0.40,0.40,0.40,no,no,no,no,no,yes,yes,yes,yes,yes
167,7,owies,1,12.5,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.40,0.40,no,no,no,no,no,no,no,no,yes,yes
168,8,owies,1,12.5,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.40,0.40,no,no,no,no,no,no,no,no,yes,yes
169,9,owies,1,12.5,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.40,no,no,no,no,no,no,no,no,no,yes
